Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
InformationDetail,Chrome 86.0.4240.111,,,2020-10-27 17:50:22,2020-10-27 17:55:40,5m - 17.420s,PASSED
,,,,,,,
Test Cases/Information-Detail/InformationDetail-Success,Chrome 86.0.4240.111,,,2020-10-27 17:50:22,2020-10-27 17:51:52,1m - 29.856s,PASSED
"openBrowser("""")",Chrome 86.0.4240.111,,,2020-10-27 17:50:23,2020-10-27 17:50:49,25.958s,PASSED
navigateToUrl(url),Chrome 86.0.4240.111,,,2020-10-27 17:50:49,2020-10-27 17:50:53,4.015s,PASSED
"setText(findTestObject(""LoginObject/inputUsername""), FirstName)",Chrome 86.0.4240.111,,,2020-10-27 17:50:53,2020-10-27 17:50:55,2.273s,PASSED
delay(2),Chrome 86.0.4240.111,,,2020-10-27 17:50:55,2020-10-27 17:50:57,2.035s,PASSED
"setText(findTestObject(""LoginObject/inputEmail""), Email)",Chrome 86.0.4240.111,,,2020-10-27 17:50:57,2020-10-27 17:51:00,3.061s,PASSED
delay(2),Chrome 86.0.4240.111,,,2020-10-27 17:51:00,2020-10-27 17:51:02,2.004s,PASSED
"setText(findTestObject(""LoginObject/inputPhone""), Phone)",Chrome 86.0.4240.111,,,2020-10-27 17:51:02,2020-10-27 17:51:03,0.918s,PASSED
delay(2),Chrome 86.0.4240.111,,,2020-10-27 17:51:03,2020-10-27 17:51:05,2.003s,PASSED
"setText(findTestObject(""LoginObject/inputCompany""), Company)",Chrome 86.0.4240.111,,,2020-10-27 17:51:05,2020-10-27 17:51:06,0.746s,PASSED
delay(2),Chrome 86.0.4240.111,,,2020-10-27 17:51:06,2020-10-27 17:51:08,2.003s,PASSED
"click(findTestObject(""LoginObject/buttonRequest""))",Chrome 86.0.4240.111,,,2020-10-27 17:51:08,2020-10-27 17:51:37,28.997s,PASSED
delay(5),Chrome 86.0.4240.111,,,2020-10-27 17:51:37,2020-10-27 17:51:42,5.004s,PASSED
"click(findTestObject(""LoginObject/backRequest""))",Chrome 86.0.4240.111,,,2020-10-27 17:51:42,2020-10-27 17:51:52,10.524s,PASSED
,,,,,,,
Test Cases/Information-Detail/InformationDetail-VariantNull,Chrome 86.0.4240.111,,,2020-10-27 17:51:52,2020-10-27 17:54:41,2m - 48.611s,PASSED
com.information.informationDetail.UsernameNull(),Chrome 86.0.4240.111,,,2020-10-27 17:51:53,2020-10-27 17:52:34,41.507s,PASSED
com.information.informationDetail.EmailNull(),Chrome 86.0.4240.111,,,2020-10-27 17:52:34,2020-10-27 17:53:47,1m - 12.479s,PASSED
com.information.informationDetail.PhoneNull(),Chrome 86.0.4240.111,,,2020-10-27 17:53:47,2020-10-27 17:54:00,13.709s,PASSED
com.information.informationDetail.CompanyNull(),Chrome 86.0.4240.111,,,2020-10-27 17:54:00,2020-10-27 17:54:41,40.664s,PASSED
,,,,,,,
Test Cases/Information-Detail/InformationDetail-EmailNotValid,Chrome 86.0.4240.111,,,2020-10-27 17:54:41,2020-10-27 17:54:47,6.008s,PASSED
"setText(findTestObject(""LoginObject/inputUsername""), FirstName)",Chrome 86.0.4240.111,,,2020-10-27 17:54:41,2020-10-27 17:54:42,0.893s,PASSED
"setText(findTestObject(""LoginObject/inputEmail""), ""utama"")",Chrome 86.0.4240.111,,,2020-10-27 17:54:42,2020-10-27 17:54:43,0.820s,PASSED
delay(2),Chrome 86.0.4240.111,,,2020-10-27 17:54:43,2020-10-27 17:54:45,2.006s,PASSED
"emailNotValid = verifyElementText(findTestObject(""Object Repository/LoginObject/elementEmailFailed""), ""The email field must be a valid email"")",Chrome 86.0.4240.111,,,2020-10-27 17:54:45,2020-10-27 17:54:45,0.402s,PASSED
if (emailNotValid),Chrome 86.0.4240.111,,,2020-10-27 17:54:45,2020-10-27 17:54:45,0.003s,PASSED
"setText(findTestObject(""LoginObject/inputPhone""), Phone)",Chrome 86.0.4240.111,,,2020-10-27 17:54:45,2020-10-27 17:54:46,0.758s,PASSED
"setText(findTestObject(""LoginObject/inputCompany""), Company)",Chrome 86.0.4240.111,,,2020-10-27 17:54:46,2020-10-27 17:54:47,0.872s,PASSED
,,,,,,,
Test Cases/Information-Detail/InformationDetail-PhoneNotValid,Chrome 86.0.4240.111,,,2020-10-27 17:54:47,2020-10-27 17:54:57,10.179s,PASSED
"setText(findTestObject(""LoginObject/inputUsername""), FirstName)",Chrome 86.0.4240.111,,,2020-10-27 17:54:47,2020-10-27 17:54:48,0.862s,PASSED
"setText(findTestObject(""LoginObject/inputEmail""), Email)",Chrome 86.0.4240.111,,,2020-10-27 17:54:48,2020-10-27 17:54:49,0.931s,PASSED
"setText(findTestObject(""LoginObject/inputPhone""), ""0821asfsdag"")",Chrome 86.0.4240.111,,,2020-10-27 17:54:49,2020-10-27 17:54:50,0.907s,PASSED
delay(2),Chrome 86.0.4240.111,,,2020-10-27 17:54:50,2020-10-27 17:54:52,2.004s,PASSED
"failedPhone = verifyElementText(findTestObject(""LoginObject/elementPhoneFailed""), ""The phone field may only contain numeric characters"")",Chrome 86.0.4240.111,,,2020-10-27 17:54:52,2020-10-27 17:54:52,0.380s,PASSED
if (failedPhone),Chrome 86.0.4240.111,,,2020-10-27 17:54:52,2020-10-27 17:54:52,0.004s,PASSED
delay(2),Chrome 86.0.4240.111,,,2020-10-27 17:54:52,2020-10-27 17:54:54,2.007s,PASSED
"setText(findTestObject(""LoginObject/inputCompany""), Company)",Chrome 86.0.4240.111,,,2020-10-27 17:54:54,2020-10-27 17:54:55,0.833s,PASSED
delay(2),Chrome 86.0.4240.111,,,2020-10-27 17:54:55,2020-10-27 17:54:57,2.003s,PASSED
,,,,,,,
Test Cases/Information-Detail/InformationDetail-2Language,Chrome 86.0.4240.111,,,2020-10-27 17:54:57,2020-10-27 17:55:40,42.434s,PASSED
row = 2,Chrome 86.0.4240.111,,,2020-10-27 17:54:57,2020-10-27 17:54:57,0.000s,PASSED
"for ([loop = 1, loop <= row, (loop++)])",Chrome 86.0.4240.111,,,2020-10-27 17:54:57,2020-10-27 17:55:40,42.175s,PASSED
